WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003500,MG P/L,0.0035,,0.00020000,60.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001800,MG P/L,0.0018,,0.00020000,1.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,20.50,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001800,MG P/L,0.0018,,0.00020000,23.50,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001800,MG P/L,0.0018,,0.00020000,35.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001900,MG P/L,0.0019,,0.00020000,48.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.003300,MG P/L,0.0033,,0.00020000,60.00,.00,44.92028,-80.60611
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002800,MG P/L,0.0028,,0.00020000,1.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003400,MG P/L,0.0034,,0.00020000,1.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.006000,MG P/L,0.006,,0.00020000,17.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003800,MG P/L,0.0038,,0.00020000,20.50,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003300,MG P/L,0.0033,,0.00020000,29.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004000,MG P/L,0.004,,0.00020000,58.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.009600,MG P/L,0.0096,,0.00020000,84.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001100,MG P/L,0.0011,,0.00020000,998.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001100,MG P/L,0.0011,,0.00020000,999.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002000,MG P/L,0.002,,0.00020000,1.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001800,MG P/L,0.0018,,0.00020000,1.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002400,MG P/L,0.0024,,0.00020000,17.00,.00,44.92028,-80.87444
GEORGIAN BAY,12,2000-08-24 09:48:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.003700,MG P/L,0.0037,,0.00020000,20.50,.00,44.92028,-80.87444
